success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Seed,Task
0,-1.0,1,1,0.0,,2.625005436129868e-06,Random Policy,0,task_00
0,-1.0,1,1,0.0,,1.8749997252598405e-06,Random Policy,0,task_00
0,-1.0,1,1,0.0,,1.4169927453622222e-06,Random Policy,0,task_00
0,-1.0,1,1,0.0,,1.2499949662014842e-06,Random Policy,0,task_00
0,-1.02,3,1,0.0,,9.443319868296385e-07,Random Policy,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,3.906243364326656e-07,Value Iteration,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,1.1975134839303792e-07,Value Iteration,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,1.1987503967247903e-07,Value Iteration,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,1.2500095181167126e-07,Value Iteration,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,1.1450174497440457e-07,Value Iteration,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,2.654996933415532e-07,Policy Iteration,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,1.356256689177826e-07,Policy Iteration,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,1.0399708116892725e-07,Policy Iteration,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,8.887582225725055e-08,Policy Iteration,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,1.0449912224430591e-07,Policy Iteration,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,1.4528777683153749e-06,Q-learning,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,8.386232366319746e-07,Q-learning,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,7.552498573204502e-07,Q-learning,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,7.502494554501027e-07,Q-learning,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,7.341259333770722e-07,Q-learning,0,task_00
1,0.89,12,0,0.0,4.0,0.002045996500479911,MCTS,0,task_00
1,0.91,10,0,0.0,2.0,0.0020516416014288554,MCTS,0,task_00
1,0.83,18,0,0.0,10.0,0.0022485786119230194,MCTS,0,task_00
1,0.85,16,0,0.0,8.0,0.002239487062979606,MCTS,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,0.0019479374986985931,MCTS,0,task_00
0,-1.02,3,1,0.0,,0.001494166664391135,Map-Conditioned Standard Diffusion,0,task_00
0,-1.06,7,1,0.0,,0.0013934467133367434,Map-Conditioned Standard Diffusion,0,task_00
0,-1.02,3,1,0.0,,0.0013042503317895655,Map-Conditioned Standard Diffusion,0,task_00
0,-1.1199999999999999,13,1,0.0,,0.0012967950012982609,Map-Conditioned Standard Diffusion,0,task_00
0,-1.02,3,1,0.0,,0.0012990690011065453,Map-Conditioned Standard Diffusion,0,task_00
0,-1.02,3,1,0.0,,0.0014803469966864213,Map-Conditioned Failure-Memory Diffusion,0,task_00
0,-1.06,7,1,0.125,,0.001385589429576482,Map-Conditioned Failure-Memory Diffusion,0,task_00
0,-1.08,9,1,0.3,,0.0013885786659860362,Map-Conditioned Failure-Memory Diffusion,0,task_00
0,-1.06,7,1,1.0,,0.0014316667178978346,Map-Conditioned Failure-Memory Diffusion,0,task_00
0,-1.02,3,1,1.0,,0.0014203609995699178,Map-Conditioned Failure-Memory Diffusion,0,task_00
1,0.89,12,0,0.0,4.0,0.0019775241695848913,Map-Conditioned Improved Failure-Memory Diffusion,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,0.002002666748012416,Map-Conditioned Improved Failure-Memory Diffusion,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,0.0019963073755207006,Map-Conditioned Improved Failure-Memory Diffusion,0,task_00
1,0.9299999999999999,8,0,0.0,0.0,0.0019607341255323263,Map-Conditioned Improved Failure-Memory Diffusion,0,task_00
1,0.89,12,0,0.0,4.0,0.0019715103323202734,Map-Conditioned Improved Failure-Memory Diffusion,0,task_00
0,-1.0,1,1,0.0,,1.7499987734481692e-06,Random Policy,0,task_01
0,-1.0,1,1,0.0,,1.6250123735517263e-06,Random Policy,0,task_01
