Algorithm,Map,Success Rate Mean,Success Rate Std,Average Return Mean,Average Return Std,Path Length Mean,Path Length Std,Collision Rate Mean,Optimality Gap Mean,Repeated Failure Rate Mean,Inference Time Mean
Failure-Memory Diffusion,deceptive,0.0,0.0,-1.0686666666666667,0.061358690410478034,7.866666666666666,6.135869041047804,1.0,,0.765436507936508,0.001991072554757635
MCTS,deceptive,0.9,0.30000000000000004,0.5763333333333335,0.527000843347417,28.366666666666667,10.163606096700565,0.0,12.962962962962964,0.0,0.00075648020269105
Policy Iteration,deceptive,1.0,0.0,0.8799999999999998,2.220446049250313e-16,13.0,0.0,0.0,0.0,0.0,1.1977823212360728e-07
Q-learning,deceptive,0.0,0.0,-0.9900000000000005,3.3306690738754696e-16,50.0,0.0,0.0,,0.0,6.428887136280539e-07
Random Policy,deceptive,0.0,0.0,-1.0093333333333334,0.011813363431112911,1.9333333333333333,1.18133634311129,1.0,,0.0,1.2670501342250243e-06
Standard Diffusion,deceptive,0.0,0.0,-1.0320000000000003,0.006000000000000007,4.2,0.6000000000000001,1.0,,0.0,0.0017732649388360895
Value Iteration,deceptive,1.0,0.0,0.8799999999999998,2.220446049250313e-16,13.0,0.0,0.0,0.0,0.0,1.1994181057581536e-07
Failure-Memory Diffusion,easy,1.0,0.0,0.9266666666666666,0.029814239699997178,8.333333333333334,2.9814239699997196,0.0,3.3333333333333335,0.0,0.001999325471178897
MCTS,easy,0.7,0.45825756949558394,0.2503333333333332,0.8198962671514545,30.966666666666665,16.861165110658543,0.0,17.80952380952381,0.0,0.0005204583238443445
Policy Iteration,easy,1.0,0.0,0.9600000000000002,2.220446049250313e-16,5.0,0.0,0.0,0.0,0.0,1.458668460448583e-07
Q-learning,easy,1.0,0.0,0.9533333333333334,0.009428090415820644,5.666666666666667,0.9428090415820636,0.0,0.6666666666666666,0.0,8.475370261640776e-07
Random Policy,easy,0.0,0.0,-1.034,0.0740990328321947,4.4,7.409903283219468,1.0,,0.0,1.2017349201373586e-06
Standard Diffusion,easy,1.0,0.0,0.9266666666666666,0.029814239699997178,8.333333333333334,2.9814239699997196,0.0,3.3333333333333335,0.0,0.0018293079454534502
Value Iteration,easy,1.0,0.0,0.9600000000000002,2.220446049250313e-16,5.0,0.0,0.0,0.0,0.0,1.3888968775669733e-07
Failure-Memory Diffusion,obstacle,0.5666666666666667,0.49553562491061687,0.06933333333333334,0.9554787049199764,7.4,4.062839729384691,0.43333333333333335,1.5294117647058822,0.47944444444444445,0.0019929438947797174
MCTS,obstacle,1.0,0.0,0.8119999999999998,0.08968091584426797,19.8,8.968091584426794,0.0,10.8,0.0,0.000928275368363314
Policy Iteration,obstacle,1.0,0.0,0.9200000000000004,3.3306690738754696e-16,9.0,0.0,0.0,0.0,0.0,1.1913685335053339e-07
Q-learning,obstacle,1.0,0.0,0.9200000000000004,3.3306690738754696e-16,9.0,0.0,0.0,0.0,0.0,7.950459365491514e-07
Random Policy,obstacle,0.0,0.0,-1.0093333333333334,0.011813363431112911,1.9333333333333333,1.18133634311129,1.0,,0.0,1.1879763203776543e-06
Standard Diffusion,obstacle,0.03333333333333333,0.1795054935711501,-0.9606666666666666,0.349456085303369,3.7333333333333334,1.590248058916875,0.9666666666666667,0.0,0.0,0.0017711379515283087
Value Iteration,obstacle,1.0,0.0,0.9200000000000004,3.3306690738754696e-16,9.0,0.0,0.0,0.0,0.0,1.1483121111437126e-07
Failure-Memory Diffusion,random_small,1.0,0.0,0.914,0.01743559577416266,9.6,1.7435595774162693,0.0,1.6,0.0,0.0019961738719841433
MCTS,random_small,0.23333333333333334,0.4229525846816506,-0.5846666666666669,0.7359154540812115,44.46666666666667,10.865030551677659,0.0,18.285714285714285,0.0,0.0005833636437496175
Policy Iteration,random_small,1.0,0.0,0.9299999999999999,0.0,8.0,0.0,0.0,0.0,0.0,1.3348762877285482e-07
Q-learning,random_small,1.0,0.0,0.9299999999999999,0.0,8.0,0.0,0.0,0.0,0.0,8.065845274055997e-07
Random Policy,random_small,0.0,0.0,-1.008,0.019390719429665332,1.8,1.9390719429665317,1.0,,0.0,1.3445101175752895e-06
Standard Diffusion,random_small,1.0,0.0,0.914,0.01743559577416266,9.6,1.7435595774162693,0.0,1.6,0.0,0.0018182427509658276
Value Iteration,random_small,1.0,0.0,0.9299999999999999,0.0,8.0,0.0,0.0,0.0,0.0,1.3124275331695873e-07
