success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Map,Seed
0,-1.02,3,1,0.0,,3.847293555736542e-06,Random Policy,easy,0
0,-1.01,2,1,0.0,,1.3541430234909058e-06,Random Policy,easy,0
0,-1.06,7,1,0.0,,8.21426510810852e-07,Random Policy,easy,0
0,-1.01,2,1,0.0,,1.125037670135498e-06,Random Policy,easy,0
0,-1.0,1,1,0.0,,1.2498348951339722e-06,Random Policy,easy,0
0,-1.0,1,1,0.0,,1.125037670135498e-06,Random Policy,easy,0
0,-1.01,2,1,0.0,,9.584473446011543e-07,Random Policy,easy,0
0,-1.02,3,1,0.0,,9.443610906600952e-07,Random Policy,easy,0
0,-1.0,1,1,0.0,,1.084059476852417e-06,Random Policy,easy,0
0,-1.09,10,1,0.0,,7.250811904668808e-07,Random Policy,easy,0
1,0.96,5,0,0.0,0.0,6.083864718675613e-07,Value Iteration,easy,0
1,0.96,5,0,0.0,0.0,1.332256942987442e-07,Value Iteration,easy,0
1,0.96,5,0,0.0,0.0,1.169741153717041e-07,Value Iteration,easy,0
1,0.96,5,0,0.0,0.0,9.164214134216309e-08,Value Iteration,easy,0
1,0.96,5,0,0.0,0.0,1.000240445137024e-07,Value Iteration,easy,0
1,0.96,5,0,0.0,0.0,1.25030055642128e-07,Value Iteration,easy,0
1,0.96,5,0,0.0,0.0,1.502223312854767e-07,Value Iteration,easy,0
1,0.96,5,0,0.0,0.0,9.17818397283554e-08,Value Iteration,easy,0
1,0.96,5,0,0.0,0.0,1.1660158634185791e-07,Value Iteration,easy,0
1,0.96,5,0,0.0,0.0,1.0817311704158783e-07,Value Iteration,easy,0
1,0.96,5,0,0.0,0.0,6.336253136396408e-07,Policy Iteration,easy,0
1,0.96,5,0,0.0,0.0,1.0835938155651092e-07,Policy Iteration,easy,0
1,0.96,5,0,0.0,0.0,9.182840585708618e-08,Policy Iteration,easy,0
1,0.96,5,0,0.0,0.0,9.98377799987793e-08,Policy Iteration,easy,0
1,0.96,5,0,0.0,0.0,9.98377799987793e-08,Policy Iteration,easy,0
1,0.96,5,0,0.0,0.0,9.17818397283554e-08,Policy Iteration,easy,0
1,0.96,5,0,0.0,0.0,2.000480890274048e-07,Policy Iteration,easy,0
1,0.96,5,0,0.0,0.0,1.3350509107112884e-07,Policy Iteration,easy,0
1,0.96,5,0,0.0,0.0,1.0021030902862548e-07,Policy Iteration,easy,0
1,0.96,5,0,0.0,0.0,8.33999365568161e-08,Policy Iteration,easy,0
1,0.94,7,0,0.0,2.0,1.5652538942439215e-06,Q-learning,easy,0
1,0.94,7,0,0.0,2.0,7.618218660354614e-07,Q-learning,easy,0
1,0.94,7,0,0.0,2.0,7.915909269026347e-07,Q-learning,easy,0
1,0.94,7,0,0.0,2.0,7.67875462770462e-07,Q-learning,easy,0
1,0.94,7,0,0.0,2.0,7.8580342233181e-07,Q-learning,easy,0
1,0.94,7,0,0.0,2.0,6.904093814747674e-07,Q-learning,easy,0
1,0.94,7,0,0.0,2.0,7.737294903823308e-07,Q-learning,easy,0
1,0.94,7,0,0.0,2.0,7.920233266694205e-07,Q-learning,easy,0
1,0.94,7,0,0.0,2.0,7.738957979849406e-07,Q-learning,easy,0
1,0.94,7,0,0.0,2.0,6.903761199542455e-07,Q-learning,easy,0
0,-0.9900000000000002,50,0,0.0,,0.000499031562358141,MCTS,easy,0
0,-0.9900000000000002,50,0,0.0,,0.0004832684295251966,MCTS,easy,0
1,0.82,19,0,0.0,14.0,0.0004114691829799037,MCTS,easy,0
1,0.96,5,0,0.0,0.0,0.00041036666370928285,MCTS,easy,0
1,0.84,17,0,0.0,12.0,0.00046126221251838347,MCTS,easy,0
1,0.5999999999999999,41,0,0.0,36.0,0.000473732736370549,MCTS,easy,0
1,0.74,27,0,0.0,22.0,0.0004591065700407381,MCTS,easy,0
1,0.74,27,0,0.0,22.0,0.0005142098654889398,MCTS,easy,0
1,0.92,9,0,0.0,4.0,0.00038809267183144885,MCTS,easy,0
1,0.72,29,0,0.0,24.0,0.002157432332249551,MCTS,easy,0
1,0.92,9,0,0.0,4.0,0.002283028042357829,Standard Diffusion,easy,0
1,0.96,5,0,0.0,0.0,0.001811291789636016,Standard Diffusion,easy,0
1,0.94,7,0,0.0,2.0,0.0018656428105064801,Standard Diffusion,easy,0
1,0.96,5,0,0.0,0.0,0.0018498083576560021,Standard Diffusion,easy,0
1,0.96,5,0,0.0,0.0,0.0018030418083071708,Standard Diffusion,easy,0
1,0.94,7,0,0.0,2.0,0.0018491071449326618,Standard Diffusion,easy,0
1,0.96,5,0,0.0,0.0,0.0018176998011767865,Standard Diffusion,easy,0
1,0.88,13,0,0.0,8.0,0.001831951980980543,Standard Diffusion,easy,0
1,0.96,5,0,0.0,0.0,0.001833524787798524,Standard Diffusion,easy,0
1,0.94,7,0,0.0,2.0,0.0018116665804492576,Standard Diffusion,easy,0
1,0.92,9,0,0.0,4.0,0.002184939777685536,Failure-Memory Diffusion,easy,0
1,0.96,5,0,0.0,0.0,0.001981583144515753,Failure-Memory Diffusion,easy,0
1,0.94,7,0,0.0,2.0,0.002008833257215364,Failure-Memory Diffusion,easy,0
1,0.96,5,0,0.0,0.0,0.0019769836217164993,Failure-Memory Diffusion,easy,0
1,0.96,5,0,0.0,0.0,0.0019745836034417152,Failure-Memory Diffusion,easy,0
1,0.94,7,0,0.0,2.0,0.0019930358976125717,Failure-Memory Diffusion,easy,0
1,0.96,5,0,0.0,0.0,0.00200599180534482,Failure-Memory Diffusion,easy,0
1,0.88,13,0,0.0,8.0,0.0020033077587588476,Failure-Memory Diffusion,easy,0
1,0.96,5,0,0.0,0.0,0.002020225068554282,Failure-Memory Diffusion,easy,0
1,0.94,7,0,0.0,2.0,0.0021508749507899794,Failure-Memory Diffusion,easy,0
0,-1.02,3,1,0.0,,2.3610579470793405e-06,Random Policy,obstacle,0
0,-1.01,2,1,0.0,,1.187552697956562e-06,Random Policy,obstacle,0
0,-1.01,2,1,0.0,,1.0414514690637589e-06,Random Policy,obstacle,0
0,-1.01,2,1,0.0,,1.0210787877440453e-06,Random Policy,obstacle,0
0,-1.0,1,1,0.0,,1.166015863418579e-06,Random Policy,obstacle,0
0,-1.0,1,1,0.0,,1.2919772416353226e-06,Random Policy,obstacle,0
0,-1.01,2,1,0.0,,1.0830117389559746e-06,Random Policy,obstacle,0
0,-1.02,3,1,0.0,,9.584085394938786e-07,Random Policy,obstacle,0
0,-1.0,1,1,0.0,,1.166015863418579e-06,Random Policy,obstacle,0
0,-1.01,2,1,0.0,,9.165378287434578e-07,Random Policy,obstacle,0
1,0.92,9,0,0.0,0.0,1.8960175414880118e-07,Value Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.158203101820416e-07,Value Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.4833899007903204e-07,Value Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.3426567117373148e-07,Value Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.0203156206342909e-07,Value Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.2474548485543994e-07,Value Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.342139310306973e-07,Value Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,9.26924662457572e-08,Value Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.1106021702289581e-07,Value Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.019798219203949e-07,Value Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,2.9168505635526446e-07,Policy Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.4355302684836917e-07,Policy Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.1100847687986162e-07,Policy Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.203475726975335e-07,Policy Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.20476923055119e-07,Policy Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.2024409241146512e-07,Policy Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.0179873141977522e-07,Policy Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.1111195716593001e-07,Policy Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,9.256311588817172e-08,Policy Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.0190221170584361e-07,Policy Iteration,obstacle,0
1,0.92,9,0,0.0,0.0,1.3007730659511353e-06,Q-learning,obstacle,0
1,0.92,9,0,0.0,0.0,8.195897357331382e-07,Q-learning,obstacle,0
1,0.92,9,0,0.0,0.0,7.822592225339678e-07,Q-learning,obstacle,0
1,0.92,9,0,0.0,0.0,7.821816123194164e-07,Q-learning,obstacle,0
1,0.92,9,0,0.0,0.0,7.592348588837517e-07,Q-learning,obstacle,0
1,0.92,9,0,0.0,0.0,8.473483224709829e-07,Q-learning,obstacle,0
1,0.92,9,0,0.0,0.0,8.380350967248281e-07,Q-learning,obstacle,0
1,0.92,9,0,0.0,0.0,7.641501724720001e-07,Q-learning,obstacle,0
1,0.92,9,0,0.0,0.0,9.030207163757748e-07,Q-learning,obstacle,0
1,0.92,9,0,0.0,0.0,8.378540062242084e-07,Q-learning,obstacle,0
1,0.88,13,0,0.0,4.0,0.0009598846260744792,MCTS,obstacle,0
1,0.9,11,0,0.0,2.0,0.000978874931619926,MCTS,obstacle,0
1,0.7,31,0,0.0,22.0,0.0010809784815196068,MCTS,obstacle,0
1,0.88,13,0,0.0,4.0,0.0008775291140549458,MCTS,obstacle,0
1,0.9,11,0,0.0,2.0,0.0008611477361145345,MCTS,obstacle,0
1,0.6399999999999999,37,0,0.0,28.0,0.0010383829247911235,MCTS,obstacle,0
1,0.84,17,0,0.0,8.0,0.0008949926259982236,MCTS,obstacle,0
1,0.7799999999999999,23,0,0.0,14.0,0.00100153429514688,MCTS,obstacle,0
1,0.86,15,0,0.0,6.0,0.0008307167794555425,MCTS,obstacle,0
1,0.9,11,0,0.0,2.0,0.0008258938958699053,MCTS,obstacle,0
0,-1.02,3,1,0.0,,0.001827653031796217,Standard Diffusion,obstacle,0
0,-1.02,3,1,0.0,,0.0018944165979822476,Standard Diffusion,obstacle,0
0,-1.02,3,1,0.0,,0.001784819100673,Standard Diffusion,obstacle,0
0,-1.02,3,1,0.0,,0.0017452220587680738,Standard Diffusion,obstacle,0
0,-1.02,3,1,0.0,,0.0017966247008492549,Standard Diffusion,obstacle,0
0,-1.02,3,1,0.0,,0.0017511389063050349,Standard Diffusion,obstacle,0
0,-1.02,3,1,0.0,,0.0017339866608381271,Standard Diffusion,obstacle,0
0,-1.04,5,1,0.0,,0.0017858666367828846,Standard Diffusion,obstacle,0
0,-1.04,5,1,0.0,,0.0017416583839803934,Standard Diffusion,obstacle,0
0,-1.04,5,1,0.0,,0.0017797667533159256,Standard Diffusion,obstacle,0
