Algorithm,Map,Seed Count,Episodes per Seed,Success Rate Mean,Success Rate Std,Success Rate CI Low,Success Rate CI High,Success Rate CI Halfwidth,Collision Rate Mean,Collision Rate Std,Collision Rate CI Low,Collision Rate CI High,Collision Rate CI Halfwidth,Average Return Mean,Average Return Std,Average Return CI Low,Average Return CI High,Average Return CI Halfwidth,Path Length Mean,Path Length Std,Path Length CI Low,Path Length CI High,Path Length CI Halfwidth,Optimality Gap Mean,Optimality Gap Std,Optimality Gap CI Low,Optimality Gap CI High,Optimality Gap CI Halfwidth,Repeated Failure Rate Mean,Repeated Failure Rate Std,Repeated Failure Rate CI Low,Repeated Failure Rate CI High,Repeated Failure Rate CI Halfwidth,Inference Time Mean,Inference Time Std,Inference Time CI Low,Inference Time CI High,Inference Time CI Halfwidth
Full Method,deceptive,10,10.0,0.48999999999999994,0.18529256146249726,0.35745889543239795,0.6225411045676019,0.13254110456760196,0.0,0.0,0.0,0.0,0.0,-0.08130000000000012,0.3431148333851058,-0.3267325130563595,0.16413251305635923,0.24543251305635935,32.629999999999995,6.548121019719237,27.946081844054056,37.313918155945935,4.683918155945938,,,,,,0.19686770092652445,0.06911886476212716,0.1474264788411726,0.2463089230118763,0.049441222085351844,0.0038173752182085836,8.86094397608887e-05,0.0037539922473633046,0.0038807581890538626,6.338297084527923e-05
Full Method,easy,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396000000000001,0.0074714270539316665,0.9342556343837647,0.9449443656162355,0.0053443656162354665,7.040000000000001,0.7471427053931681,6.505563438376454,7.574436561623548,0.5344365616235476,2.04,0.747142705393168,1.5055634383764525,2.5744365616235476,0.5344365616235476,0.0,0.0,0.0,0.0,0.0,0.004053748925097234,8.198184148596423e-05,0.00399510672306132,0.004112391127133149,5.864220203591386e-05
Full Method,obstacle,10,10.0,0.99,0.031622776601683784,0.96738,1.01262,0.022619999999999994,0.0,0.0,0.0,0.0,0.0,0.8611000000000001,0.06787316602801631,0.8125498351965723,0.9096501648034279,0.0485501648034278,13.39,2.280570104162553,11.758691769039341,15.02130823096066,1.63130823096066,4.044444444444445,1.4710372589720326,2.992200891733276,5.096687997155614,1.0522435527111689,0.014208333333333331,0.04493069508822572,-0.017930916666666664,0.046347583333333324,0.032139249999999994,0.0037958039485608366,3.6909929262686855e-05,0.003769402010159339,0.0038222058869623343,2.6401938401497648e-05
Full Method,random_small,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9212,0.0037947331922020323,0.9184856,0.9239144,0.0027143999999999836,8.879999999999999,0.37947331922020555,8.608559999999999,9.15144,0.27144,0.8799999999999999,0.37947331922020555,0.6085599999999999,1.15144,0.27144,0.0,0.0,0.0,0.0,0.0,0.004071458333312053,6.384664744153823e-05,0.004025788366271566,0.004117128300352541,4.566996704048739e-05
Without Adaptive Weights,deceptive,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9900000000000002,0.0,-0.9900000000000002,-0.9900000000000002,0.0,50.0,0.0,50.0,50.0,0.0,,,,,,0.6784313725490196,0.03355685660913315,0.6544279111812985,0.7024348339167408,0.024003461367721104,0.0037511261856940105,2.4186623790801265e-05,0.003733825319389981,0.00376842705199804,1.730086630402953e-05
Without Adaptive Weights,easy,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396000000000001,0.0074714270539316665,0.9342556343837647,0.9449443656162355,0.0053443656162354665,7.040000000000001,0.7471427053931681,6.505563438376454,7.574436561623548,0.5344365616235476,2.04,0.747142705393168,1.5055634383764525,2.5744365616235476,0.5344365616235476,0.0,0.0,0.0,0.0,0.0,0.004021428361528412,6.919107276709921e-05,0.00397193548853672,0.004070921234520104,4.9492872991691957e-05
Without Adaptive Weights,obstacle,10,10.0,0.99,0.031622776601683784,0.96738,1.01262,0.022619999999999994,0.0,0.0,0.0,0.0,0.0,0.8611000000000001,0.06787316602801631,0.8125498351965723,0.9096501648034279,0.0485501648034278,13.39,2.280570104162553,11.758691769039341,15.02130823096066,1.63130823096066,4.044444444444445,1.4710372589720326,2.992200891733276,5.096687997155614,1.0522435527111689,0.014208333333333331,0.04493069508822572,-0.017930916666666664,0.046347583333333324,0.032139249999999994,0.0037899570603297664,3.93836978169636e-05,0.0037617856174536122,0.0038181285032059206,2.8171442876154076e-05
Without Adaptive Weights,random_small,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9212,0.0037947331922020323,0.9184856,0.9239144,0.0027143999999999836,8.879999999999999,0.37947331922020555,8.608559999999999,9.15144,0.27144,0.8799999999999999,0.37947331922020555,0.6085599999999999,1.15144,0.27144,0.0,0.0,0.0,0.0,0.0,0.00414000945599747,0.0002821343961710862,0.003938196689149851,0.004341822222845089,0.00020181276684761953
Without Diversity,deceptive,10,10.0,0.48,0.18135294011647257,0.35027693497299717,0.6097230650270028,0.1297230650270028,0.0,0.0,0.0,0.0,0.0,-0.09800000000000013,0.33712641875448185,-0.3391489569141863,0.14314895691418605,0.24114895691418617,32.800000000000004,6.522439897938671,28.134451735540615,37.46554826445939,4.665548264459387,,,,,,0.2001815790418732,0.08978407005747935,0.13595838668019916,0.26440477140354723,0.06422319236167402,0.0037596284438557955,3.163650032605087e-05,0.0037369986271768526,0.0037822582605347385,2.2629816678942944e-05
Without Diversity,easy,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9390000000000001,0.007731609003162135,0.933469524360419,0.9445304756395811,0.0055304756395811025,7.1,0.7731609003162135,6.54695243604189,7.6530475639581095,0.5530475639581103,2.1,0.7731609003162134,1.5469524360418898,2.6530475639581104,0.5530475639581102,0.0,0.0,0.0,0.0,0.0,0.003994900679890199,6.861374528890495e-05,0.0039458207734043025,0.004043980586376095,4.907990648589629e-05
