Algorithm,Map,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
Full Method,deceptive,0,10,0.5,0.0,-0.055000000000000104,31.5,0.0,0.2149859943977591,0.003770017249863416
Full Method,deceptive,1,10,0.6,0.0,0.12599999999999992,28.4,1.0,0.12641806722689075,0.0038796290642087866
Full Method,deceptive,2,10,0.4,0.0,-0.2520000000000001,36.2,2.5,0.2126283846872082,0.0037603288902314674
Full Method,deceptive,3,10,0.6,0.0,0.10999999999999995,30.0,3.6666666666666665,0.18474439775910365,0.004011218861125246
Full Method,deceptive,4,10,0.0,0.0,-0.9900000000000002,50.0,,0.3666666666666667,0.003913625761808362
Full Method,deceptive,5,10,0.5,0.0,-0.055000000000000104,31.5,0.0,0.2149859943977591,0.003804462129803141
Full Method,deceptive,6,10,0.6,0.0,0.12599999999999992,28.4,1.0,0.15141806722689075,0.003745679646331178
Full Method,deceptive,7,10,0.6,0.0,0.1119999999999999,29.8,3.3333333333333335,0.14667187387775624,0.0037632957883648012
Full Method,deceptive,8,10,0.6,0.0,0.12599999999999992,28.4,1.0,0.13891806722689076,0.0037739853339727953
Full Method,deceptive,9,10,0.5,0.0,-0.06100000000000011,32.1,1.2,0.21123949579831933,0.003751509456376647
Full Method,easy,0,10,1.0,0.0,0.944,6.6,1.6,0.0,0.004053415582059802
Full Method,easy,1,10,1.0,0.0,0.95,6.0,1.0,0.0,0.004012816728375453
Full Method,easy,2,10,1.0,0.0,0.944,6.6,1.6,0.0,0.003970757401334562
Full Method,easy,3,10,1.0,0.0,0.9380000000000001,7.2,2.2,0.0,0.004029695986793444
Full Method,easy,4,10,1.0,0.0,0.9259999999999999,8.4,3.4,0.0,0.0042190903733287585
Full Method,easy,5,10,1.0,0.0,0.9380000000000001,7.2,2.2,0.0,0.004150875237967531
Full Method,easy,6,10,1.0,0.0,0.9399999999999998,7.0,2.0,0.0,0.004003156946188687
Full Method,easy,7,10,1.0,0.0,0.9299999999999999,8.0,3.0,0.0,0.004047359205720006
Full Method,easy,8,10,1.0,0.0,0.938,7.2,2.2,0.0,0.004097068005945276
Full Method,easy,9,10,1.0,0.0,0.9479999999999998,6.2,1.2,0.0,0.0039532537832588244
Full Method,obstacle,0,10,1.0,0.0,0.892,11.8,2.8,0.0,0.0037923830652306116
Full Method,obstacle,1,10,1.0,0.0,0.9020000000000001,10.8,1.8,0.0,0.003837306283121245
Full Method,obstacle,2,10,1.0,0.0,0.8880000000000001,12.2,3.2,0.0,0.003756936868550135
Full Method,obstacle,3,10,1.0,0.0,0.8800000000000001,13.0,4.0,0.0,0.0037944892997616108
Full Method,obstacle,4,10,1.0,0.0,0.8699999999999999,14.0,5.0,0.0,0.003864486746628507
Full Method,obstacle,5,10,0.9,0.0,0.671,18.9,6.444444444444445,0.1420833333333333,0.0038112571582335692
Full Method,obstacle,6,10,1.0,0.0,0.8779999999999999,13.2,4.2,0.0,0.003768188748154677
Full Method,obstacle,7,10,1.0,0.0,0.8940000000000001,11.6,2.6,0.0,0.00381319201208441
Full Method,obstacle,8,10,1.0,0.0,0.8620000000000001,14.8,5.8,0.0,0.003774308884316137
Full Method,obstacle,9,10,1.0,0.0,0.874,13.6,4.6,0.0,0.00374549041952746
Full Method,random_small,0,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004046454874866564
Full Method,random_small,1,10,1.0,0.0,0.9219999999999999,8.8,0.8,0.0,0.004030369393481773
Full Method,random_small,2,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004046574921085266
Full Method,random_small,3,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.004171124954227707
Full Method,random_small,4,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.00416718891002217
Full Method,random_small,5,10,1.0,0.0,0.9259999999999999,8.4,0.4,0.0,0.004045820966603059
Full Method,random_small,6,10,1.0,0.0,0.9279999999999999,8.2,0.2,0.0,0.004054319142487657
Full Method,random_small,7,10,1.0,0.0,0.916,9.4,1.4,0.0,0.004132815001485142
Full Method,random_small,8,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004044430482190364
Full Method,random_small,9,10,1.0,0.0,0.9239999999999998,8.6,0.6,0.0,0.003975484686670825
Without Adaptive Weights,deceptive,0,10,0.0,0.0,-0.9900000000000002,50.0,,0.6901960784313725,0.0037599468317639543
Without Adaptive Weights,deceptive,1,10,0.0,0.0,-0.9900000000000002,50.0,,0.6843137254901961,0.0037329716664680746
Without Adaptive Weights,deceptive,2,10,0.0,0.0,-0.9900000000000002,50.0,,0.6607843137254902,0.0037507479960913774
Without Adaptive Weights,deceptive,3,10,0.0,0.0,-0.9900000000000002,50.0,,0.6666666666666666,0.003790140801953385
Without Adaptive Weights,deceptive,4,10,0.0,0.0,-0.9900000000000002,50.0,,0.607843137254902,0.003752005160145927
Without Adaptive Weights,deceptive,5,10,0.0,0.0,-0.9900000000000002,50.0,,0.7392156862745098,0.0037892146720550956
Without Adaptive Weights,deceptive,6,10,0.0,0.0,-0.9900000000000002,50.0,,0.6901960784313725,0.0037535073241160718
Without Adaptive Weights,deceptive,7,10,0.0,0.0,-0.9900000000000002,50.0,,0.6764705882352942,0.003737581402034266
Without Adaptive Weights,deceptive,8,10,0.0,0.0,-0.9900000000000002,50.0,,0.7019607843137254,0.0037282323381514293
Without Adaptive Weights,deceptive,9,10,0.0,0.0,-0.9900000000000002,50.0,,0.6666666666666667,0.0037169136641605287
Without Adaptive Weights,easy,0,10,1.0,0.0,0.944,6.6,1.6,0.0,0.004014905644271205
Without Adaptive Weights,easy,1,10,1.0,0.0,0.95,6.0,1.0,0.0,0.004199683294240718
Without Adaptive Weights,easy,2,10,1.0,0.0,0.944,6.6,1.6,0.0,0.003935385954057381
Without Adaptive Weights,easy,3,10,1.0,0.0,0.9380000000000001,7.2,2.2,0.0,0.004011754466407286
Without Adaptive Weights,easy,4,10,1.0,0.0,0.9259999999999999,8.4,3.4,0.0,0.004026247297727324
Without Adaptive Weights,easy,5,10,1.0,0.0,0.9380000000000001,7.2,2.2,0.0,0.004018506305420532
Without Adaptive Weights,easy,6,10,1.0,0.0,0.9399999999999998,7.0,2.0,0.0,0.003992942416551035
Without Adaptive Weights,easy,7,10,1.0,0.0,0.9299999999999999,8.0,3.0,0.0,0.004012275128100372
Without Adaptive Weights,easy,8,10,1.0,0.0,0.938,7.2,2.2,0.0,0.0040331852890088974
Without Adaptive Weights,easy,9,10,1.0,0.0,0.9479999999999998,6.2,1.2,0.0,0.003969397819499368
Without Adaptive Weights,obstacle,0,10,1.0,0.0,0.892,11.8,2.8,0.0,0.0037869127896607976
Without Adaptive Weights,obstacle,1,10,1.0,0.0,0.9020000000000001,10.8,1.8,0.0,0.003805683291047602
Without Adaptive Weights,obstacle,2,10,1.0,0.0,0.8880000000000001,12.2,3.2,0.0,0.0037489572011182187
Without Adaptive Weights,obstacle,3,10,1.0,0.0,0.8800000000000001,13.0,4.0,0.0,0.0038622997051208897
Without Adaptive Weights,obstacle,4,10,1.0,0.0,0.8699999999999999,14.0,5.0,0.0,0.003843116765561914
Without Adaptive Weights,obstacle,5,10,0.9,0.0,0.671,18.9,6.444444444444445,0.1420833333333333,0.003793628700821971
Without Adaptive Weights,obstacle,6,10,1.0,0.0,0.8779999999999999,13.2,4.2,0.0,0.003738159358581617
Without Adaptive Weights,obstacle,7,10,1.0,0.0,0.8940000000000001,11.6,2.6,0.0,0.00378773532250535
Without Adaptive Weights,obstacle,8,10,1.0,0.0,0.8620000000000001,14.8,5.8,0.0,0.0037756063430491025
Without Adaptive Weights,obstacle,9,10,1.0,0.0,0.874,13.6,4.6,0.0,0.0037574711258301988
Without Adaptive Weights,random_small,0,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004035421080176699
Without Adaptive Weights,random_small,1,10,1.0,0.0,0.9219999999999999,8.8,0.8,0.0,0.004014043033358965
Without Adaptive Weights,random_small,2,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004040521684837586
Without Adaptive Weights,random_small,3,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.004879547184827971
