Algorithm,Map,Seed Count,Episodes per Seed,Success Rate Mean,Success Rate Std,Success Rate CI Low,Success Rate CI High,Success Rate CI Halfwidth,Collision Rate Mean,Collision Rate Std,Collision Rate CI Low,Collision Rate CI High,Collision Rate CI Halfwidth,Average Return Mean,Average Return Std,Average Return CI Low,Average Return CI High,Average Return CI Halfwidth,Path Length Mean,Path Length Std,Path Length CI Low,Path Length CI High,Path Length CI Halfwidth,Optimality Gap Mean,Optimality Gap Std,Optimality Gap CI Low,Optimality Gap CI High,Optimality Gap CI Halfwidth,Repeated Failure Rate Mean,Repeated Failure Rate Std,Repeated Failure Rate CI Low,Repeated Failure Rate CI High,Repeated Failure Rate CI Halfwidth,Inference Time Mean,Inference Time Std,Inference Time CI Low,Inference Time CI High,Inference Time CI Halfwidth
Adaptive Failure,deceptive,3,10.0,0.30000000000000004,0.1,0.05156617916770406,0.5484338208322961,0.24843382083229598,0.6999999999999998,0.10000000000000003,0.4515661791677038,0.9484338208322959,0.24843382083229607,-0.458,0.19100785324169262,-0.9325281078980815,0.016528107898081457,0.4745281078980815,6.8,0.9165151389911679,4.523066421697814,9.076933578302185,2.2769335783021862,0.16666666666666666,0.2886751345948129,-0.5505000000000001,0.8838333333333334,0.7171666666666667,0.49293650793650795,0.07497480050327862,0.30667374638482137,0.6791992694881945,0.18626276155168656,0.0019039721631103795,1.817144271482228e-05,0.0018588281536735946,0.0019491161725471644,4.5144009436784884e-05
Adaptive Failure,easy,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9266666666666667,0.016041612554021308,0.8868138756755983,0.9665194576577352,0.0398527909910684,8.333333333333334,1.604161255402129,4.348054234226499,12.318612432440169,3.9852790991068345,3.3333333333333335,1.6041612554021285,-0.6519457657735002,7.318612432440167,3.9852790991068336,0.0,0.0,0.0,0.0,0.0,0.001912577947997059,7.445578471263299e-06,0.0018940806129178328,0.0019310752830762853,1.8497335079226263e-05
Adaptive Failure,obstacle,3,10.0,0.5666666666666668,0.05773502691896257,0.42323333333333346,0.7101000000000001,0.14343333333333333,0.43333333333333335,0.05773502691896256,0.28990000000000005,0.5767666666666666,0.1434333333333333,0.06366666666666666,0.10803857335846923,-0.2047376891004814,0.3320710224338147,0.26840435576714805,7.966666666666666,0.8504900548115387,5.853761727699672,10.07957160563366,2.112904938966994,2.8000000000000003,0.7512951779723096,0.9335286836345933,4.666471316365407,1.866471316365407,0.3118650793650794,0.058617998730187595,0.1662381454242476,0.45749201330591116,0.1456269339408318,0.0018928343170032703,7.475832331136146e-06,0.0018742618211040128,0.0019114068129025279,1.857249589925763e-05
Adaptive Failure,random_small,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9113333333333333,0.0030550504633038355,0.9037435547389928,0.9189231119276738,0.007589778594340478,9.866666666666667,0.30550504633038905,9.107688807232606,10.625644526100729,0.7589778594340616,1.8666666666666665,0.3055050463303894,1.107688807232604,2.6256445261007286,0.7589778594340624,0.0,0.0,0.0,0.0,0.0,0.0019268944229839863,3.8363274938163565e-06,0.0019173636880114584,0.0019364251579565143,9.530734972527837e-06
Combined Exploration,deceptive,3,10.0,0.5,0.09999999999999998,0.2515661791677041,0.7484338208322959,0.24843382083229593,0.0,0.0,0.0,0.0,0.0,-0.06033333333333343,0.18905642896588662,-0.5300134433423811,0.4093467766757143,0.4696801100090477,32.03333333333333,3.9272551907577067,22.27670320909929,41.789963457567374,9.756630124234045,1.1666666666666667,1.2583057392117918,-1.9593903590092536,4.292723692342587,3.1260570256759204,0.1846774821039527,0.05046790214829659,0.05929814450303511,0.3100568197048703,0.1253793376009176,0.003761640503693764,6.324306323321157e-05,0.0036045233452921114,0.003918757662095417,0.0001571171584016525
Combined Exploration,easy,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9460000000000001,0.0034641016151377574,0.9373940000000001,0.9546060000000001,0.008606000000000008,6.3999999999999995,0.34641016151377524,5.5394,7.260599999999999,0.8605999999999995,1.4000000000000001,0.3464101615137755,0.5394,2.2606,0.8606000000000001,0.0,0.0,0.0,0.0,0.0,0.003944223777281208,1.0795935880116767e-05,0.00391740302127963,0.003971044533282787,2.6820756001578844e-05
Combined Exploration,obstacle,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8940000000000001,0.007211102550928001,0.8760851824085946,0.9119148175914057,0.017914817591405594,11.6,0.7211102550927974,9.808518240859447,13.391481759140552,1.7914817591405525,2.6,0.7211102550927979,0.808518240859446,4.391481759140554,1.791481759140554,0.0,0.0,0.0,0.0,0.0,0.003771825660451912,7.82536254057542e-05,0.0035774171889166044,0.00396623413198722,0.00019440847153530744
Combined Exploration,random_small,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9206666666666665,0.0011547005383792527,0.9177979999999999,0.9235353333333332,0.0028686666666666695,8.933333333333334,0.11547005383792475,8.646466666666669,9.220199999999998,0.28686666666666566,0.9333333333333332,0.11547005383792514,0.6464666666666665,1.2202,0.28686666666666666,0.0,0.0,0.0,0.0,0.0,0.004009176803827734,2.357774114805639e-05,0.003950601720627669,0.004067751887027799,5.857508320006494e-05
Dead-End Memory,deceptive,3,10.0,0.03333333333333333,0.05773502691896259,-0.11010000000000003,0.17676666666666668,0.14343333333333336,0.9333333333333332,0.05773502691896257,0.7898999999999999,1.0767666666666666,0.14343333333333333,-1.0090000000000001,0.12121056059601415,-1.3101280269409235,-0.7078719730590768,0.30112802694092333,10.233333333333334,1.8036999011291577,5.7523327526098225,14.714333914056846,4.481000580723512,,,,,,0.7138048063048062,0.04909222310782021,0.5918431207065332,0.8357664919030793,0.12196168559827306,0.001897552553180938,1.8410146758258724e-06,0.0018929788500797004,0.0019021262562821755,4.5737031012375225e-06
Dead-End Memory,easy,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9266666666666667,0.016041612554021308,0.8868138756755983,0.9665194576577352,0.0398527909910684,8.333333333333334,1.604161255402129,4.348054234226499,12.318612432440169,3.9852790991068345,3.3333333333333335,1.6041612554021285,-0.6519457657735002,7.318612432440167,3.9852790991068336,0.0,0.0,0.0,0.0,0.0,0.0019103940687232965,2.0217837692675927e-05,0.0018601661220537097,0.0019606220153928836,5.022794666958691e-05
