Algorithm,Map,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
Adaptive Failure,deceptive,0,10,0.4,0.6,-0.26600000000000007,7.6,0.5,0.429047619047619,0.001915205429754162
Adaptive Failure,deceptive,1,10,0.2,0.8,-0.648,5.8,0.0,0.5754761904761905,0.0018997938809085374
Adaptive Failure,deceptive,2,10,0.3,0.7,-0.4600000000000001,7.0,0.0,0.4742857142857143,0.0019230313573113428
Adaptive Failure,deceptive,3,10,0.1,0.9,-0.8400000000000001,5.0,0.0,0.6397619047619048,0.001892804315433044
Adaptive Failure,deceptive,4,10,0.2,0.8,-0.649,5.9,0.0,0.5754761904761905,0.0019036578478296641
Adaptive Failure,deceptive,5,10,0.3,0.7,-0.4630000000000001,7.3,0.6666666666666666,0.5483928571428571,0.0019022591440347701
Adaptive Failure,deceptive,6,10,0.2,0.8,-0.648,5.8,0.0,0.5754761904761905,0.0018943887081493166
Adaptive Failure,deceptive,7,10,0.3,0.7,-0.45899999999999996,6.9,0.0,0.5582142857142858,0.0018951522187704447
Adaptive Failure,deceptive,8,10,0.2,0.8,-0.655,6.5,1.0,0.557797619047619,0.0019025677390636393
Adaptive Failure,deceptive,9,10,0.3,0.7,-0.46299999999999997,7.3,1.3333333333333333,0.5510714285714285,0.0019173909375544158
Adaptive Failure,easy,0,10,1.0,0.0,0.942,6.8,1.8,0.0,0.0019127755560860312
Adaptive Failure,easy,1,10,1.0,0.0,0.9280000000000002,8.2,3.2,0.0,0.0019173597389737188
Adaptive Failure,easy,2,10,1.0,0.0,0.9099999999999999,10.0,5.0,0.0,0.0019283847330820608
Adaptive Failure,easy,3,10,1.0,0.0,0.9299999999999999,8.0,3.0,0.0,0.0018951913003729451
Adaptive Failure,easy,4,10,1.0,0.0,0.9260000000000002,8.4,3.4,0.0,0.0019285165826713059
Adaptive Failure,easy,5,10,1.0,0.0,0.932,7.8,2.8,0.0,0.001896352711775203
Adaptive Failure,easy,6,10,1.0,0.0,0.9419999999999998,6.8,1.8,0.0,0.001916721758011729
Adaptive Failure,easy,7,10,1.0,0.0,0.9280000000000002,8.2,3.2,0.0,0.0018840752618008026
Adaptive Failure,easy,8,10,1.0,0.0,0.9179999999999999,9.2,4.2,0.0,0.0019481991874358972
Adaptive Failure,easy,9,10,1.0,0.0,0.9059999999999999,10.4,5.4,0.0,0.0019046172186341387
Adaptive Failure,obstacle,0,10,0.5,0.5,-0.06100000000000002,7.1,2.4,0.3770833333333333,0.002037392387704158
Adaptive Failure,obstacle,1,10,0.6,0.4,0.122,8.8,3.6666666666666665,0.2949404761904762,0.0019227128347966333
Adaptive Failure,obstacle,2,10,0.6,0.4,0.13000000000000003,8.0,2.3333333333333335,0.26357142857142857,0.0018923633920381172
Adaptive Failure,obstacle,3,10,0.5,0.5,-0.057000000000000016,6.7,1.6,0.37333333333333335,0.0019196244167834827
Adaptive Failure,obstacle,4,10,0.5,0.5,-0.06100000000000002,7.1,2.4,0.3647619047619048,0.0018956474997264678
Adaptive Failure,obstacle,5,10,0.5,0.5,-0.05300000000000006,6.3,0.8,0.4116666666666666,0.0019034942509490358
Adaptive Failure,obstacle,6,10,0.5,0.5,-0.057000000000000016,6.7,1.6,0.38333333333333336,0.0019265452932317698
Adaptive Failure,obstacle,7,10,0.5,0.5,-0.05700000000000004,6.7,1.6,0.38476190476190475,0.0019079592761524333
Adaptive Failure,obstacle,8,10,0.5,0.5,-0.06300000000000003,7.3,2.8,0.37547619047619046,0.001969731796889137
Adaptive Failure,obstacle,9,10,0.3,0.7,-0.45199999999999996,6.2,2.0,0.4916666666666666,0.0019075322452253665
Adaptive Failure,random_small,0,10,1.0,0.0,0.9119999999999999,9.8,1.8,0.0,0.0018991723598689233
Adaptive Failure,random_small,1,10,1.0,0.0,0.908,10.2,2.2,0.0,0.0019069175225316331
Adaptive Failure,random_small,2,10,1.0,0.0,0.9139999999999999,9.6,1.6,0.0,0.0019191741315894649
Adaptive Failure,random_small,3,10,1.0,0.0,0.916,9.4,1.4,0.0,0.001902643196626741
Adaptive Failure,random_small,4,10,1.0,0.0,0.9179999999999998,9.2,1.2,0.0,0.0018946570117571223
Adaptive Failure,random_small,5,10,1.0,0.0,0.9039999999999999,10.6,2.6,0.0,0.0019005607479658255
Adaptive Failure,random_small,6,10,1.0,0.0,0.916,9.4,1.4,0.0,0.0019042295551925134
Adaptive Failure,random_small,7,10,1.0,0.0,0.89,12.0,4.0,0.0,0.0019001323176780715
Adaptive Failure,random_small,8,10,1.0,0.0,0.8939999999999999,11.6,3.6,0.0,0.0019221596062284027
Adaptive Failure,random_small,9,10,1.0,0.0,0.9,11.0,3.0,0.0,0.0019089510638670096
Combined Exploration,deceptive,0,10,0.5,0.0,-0.055000000000000104,31.5,0.0,0.2149859943977591,0.003784639755821375
Combined Exploration,deceptive,1,10,0.6,0.0,0.12599999999999992,28.4,1.0,0.12641806722689075,0.0037471823356463574
Combined Exploration,deceptive,2,10,0.4,0.0,-0.2520000000000001,36.2,2.5,0.2126283846872082,0.003757562611010492
Combined Exploration,deceptive,3,10,0.6,0.0,0.10999999999999995,30.0,3.6666666666666665,0.18474439775910365,0.0037849616842500038
Combined Exploration,deceptive,4,10,0.0,0.0,-0.9900000000000002,50.0,,0.3666666666666667,0.003776131499791518
Combined Exploration,deceptive,5,10,0.5,0.0,-0.06300000000000011,32.3,1.6,0.23509039979628216,0.003764283581990783
Combined Exploration,deceptive,6,10,0.6,0.0,0.12599999999999992,28.4,1.0,0.15141806722689075,0.0037589512523621893
