success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Map,Seed
1,0.92,9,0,0.0,4.0,0.002188444556345025,Failure-Memory Baseline,easy,0
1,0.96,5,0,0.0,0.0,0.0019129498017719016,Failure-Memory Baseline,easy,0
1,0.94,7,0,0.0,2.0,0.0019283151424523176,Failure-Memory Baseline,easy,0
1,0.96,5,0,0.0,0.0,0.0019045418011955917,Failure-Memory Baseline,easy,0
1,0.96,5,0,0.0,0.0,0.0019054249976761639,Failure-Memory Baseline,easy,0
1,0.94,7,0,0.0,2.0,0.0019096845686103084,Failure-Memory Baseline,easy,0
1,0.96,5,0,0.0,0.0,0.0019111584027996288,Failure-Memory Baseline,easy,0
1,0.88,13,0,0.0,8.0,0.0019252083841890383,Failure-Memory Baseline,easy,0
1,0.96,5,0,0.0,0.0,0.001909908402012661,Failure-Memory Baseline,easy,0
1,0.94,7,0,0.0,2.0,0.001907934426396553,Failure-Memory Baseline,easy,0
1,0.92,9,0,0.0,4.0,0.0019471574455059858,Dead-End Memory,easy,0
1,0.96,5,0,0.0,0.0,0.0019116916053462773,Dead-End Memory,easy,0
1,0.94,7,0,0.0,2.0,0.001915368715084956,Dead-End Memory,easy,0
1,0.96,5,0,0.0,0.0,0.0018979003973072395,Dead-End Memory,easy,0
1,0.96,5,0,0.0,0.0,0.0019105582032352686,Dead-End Memory,easy,0
1,0.94,7,0,0.0,2.0,0.0019244465698388272,Dead-End Memory,easy,0
1,0.96,5,0,0.0,0.0,0.0019198247988242655,Dead-End Memory,easy,0
1,0.88,13,0,0.0,8.0,0.0019375416181551723,Dead-End Memory,easy,0
1,0.96,5,0,0.0,0.0,0.001911316395853646,Dead-End Memory,easy,0
1,0.94,7,0,0.0,2.0,0.0019158095695144897,Dead-End Memory,easy,0
1,0.96,5,0,0.0,0.0,0.003979808199801482,Diverse Candidates,easy,0
1,0.94,7,0,0.0,2.0,0.0040434525705807444,Diverse Candidates,easy,0
1,0.92,9,0,0.0,4.0,0.0038808103337133718,Diverse Candidates,easy,0
1,0.96,5,0,0.0,0.0,0.003923416399629787,Diverse Candidates,easy,0
1,0.94,7,0,0.0,2.0,0.003958583287645264,Diverse Candidates,easy,0
1,0.94,7,0,0.0,2.0,0.0038549105749033125,Diverse Candidates,easy,0
1,0.94,7,0,0.0,2.0,0.004018624999194539,Diverse Candidates,easy,0
1,0.96,5,0,0.0,0.0,0.0038695166003890336,Diverse Candidates,easy,0
1,0.94,7,0,0.0,2.0,0.00393188685536318,Diverse Candidates,easy,0
1,0.94,7,0,0.0,2.0,0.003991226141806692,Diverse Candidates,easy,0
1,0.92,9,0,0.0,4.0,0.001936412002477381,Adaptive Failure,easy,0
1,0.96,5,0,0.0,0.0,0.0019018168037291615,Adaptive Failure,easy,0
1,0.94,7,0,0.0,2.0,0.0019218095736245491,Adaptive Failure,easy,0
1,0.96,5,0,0.0,0.0,0.0018924415984656663,Adaptive Failure,easy,0
1,0.96,5,0,0.0,0.0,0.0019148749997839332,Adaptive Failure,easy,0
1,0.94,7,0,0.0,2.0,0.0019175358590603406,Adaptive Failure,easy,0
1,0.96,5,0,0.0,0.0,0.001909091798006557,Adaptive Failure,easy,0
1,0.88,13,0,0.0,8.0,0.0019247243863691648,Adaptive Failure,easy,0
1,0.96,5,0,0.0,0.0,0.0018990663986187429,Adaptive Failure,easy,0
1,0.94,7,0,0.0,2.0,0.0019099821407248133,Adaptive Failure,easy,0
1,0.96,5,0,0.0,0.0,0.003931708398158662,Combined Exploration,easy,0
1,0.94,7,0,0.0,2.0,0.0040808749971412385,Combined Exploration,easy,0
1,0.92,9,0,0.0,4.0,0.0038946619978459138,Combined Exploration,easy,0
1,0.96,5,0,0.0,0.0,0.003930524797760881,Combined Exploration,easy,0
1,0.94,7,0,0.0,2.0,0.003985261852254293,Combined Exploration,easy,0
1,0.94,7,0,0.0,2.0,0.0038708691447806943,Combined Exploration,easy,0
1,0.94,7,0,0.0,2.0,0.00408045228687115,Combined Exploration,easy,0
1,0.96,5,0,0.0,0.0,0.0038994333968730643,Combined Exploration,easy,0
1,0.94,7,0,0.0,2.0,0.004012684429263962,Combined Exploration,easy,0
1,0.94,7,0,0.0,2.0,0.004211779717089874,Combined Exploration,easy,0
0,-1.02,3,1,0.0,,0.0019339723367011175,Failure-Memory Baseline,obstacle,0
0,-1.03,4,1,0.6,,0.001960249999683583,Failure-Memory Baseline,obstacle,0
0,-1.01,2,1,0.3333333333333333,,0.0019397289943299256,Failure-Memory Baseline,obstacle,0
0,-1.01,2,1,1.0,,0.0020405624964041635,Failure-Memory Baseline,obstacle,0
1,0.92,9,0,0.4,0.0,0.0020965418888307693,Failure-Memory Baseline,obstacle,0
1,0.92,9,0,0.4,0.0,0.0019965185541271544,Failure-Memory Baseline,obstacle,0
1,0.9,11,0,0.3333333333333333,2.0,0.0020372917245946487,Failure-Memory Baseline,obstacle,0
1,0.92,9,0,0.4,0.0,0.002043565002774509,Failure-Memory Baseline,obstacle,0
1,0.92,9,0,0.4,0.0,0.001994578775742816,Failure-Memory Baseline,obstacle,0
1,0.92,9,0,0.4,0.0,0.001953676224931971,Failure-Memory Baseline,obstacle,0
0,-1.02,3,1,0.0,,0.0020324030047049746,Dead-End Memory,obstacle,0
0,-1.03,4,1,0.6,,0.0020061664981767535,Dead-End Memory,obstacle,0
0,-1.01,2,1,0.3333333333333333,,0.001960312503797468,Dead-End Memory,obstacle,0
0,-1.01,2,1,1.0,,0.0019535835017450154,Dead-End Memory,obstacle,0
1,0.92,9,0,0.4,0.0,0.002264745667667335,Dead-End Memory,obstacle,0
1,0.92,9,0,0.4,0.0,0.0022471250008998644,Dead-End Memory,obstacle,0
1,0.9,11,0,0.3333333333333333,2.0,0.0021466929994692855,Dead-End Memory,obstacle,0
1,0.92,9,0,0.4,0.0,0.0023231525523846764,Dead-End Memory,obstacle,0
1,0.92,9,0,0.4,0.0,0.001989300889868496,Dead-End Memory,obstacle,0
1,0.92,9,0,0.4,0.0,0.0022897453357776008,Dead-End Memory,obstacle,0
1,0.92,9,0,0.0,0.0,0.005550814891143495,Diverse Candidates,obstacle,0
