success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_F,Map,Seed
1,0.96,5,0,0.0,0.0,0.0022543670143932103,5,0.5,easy,0
0,-1.0,1,1,0.0,,0.0013692500069737434,5,0.5,easy,0
0,-1.02,3,1,0.25,,0.0013609166101862986,5,0.5,easy,0
0,-1.01,2,1,0.3333333333333333,,0.0013690419727936387,5,0.5,easy,0
0,-1.02,3,1,0.5,,0.0013871393166482449,5,0.5,easy,0
1,0.94,7,0,0.5,2.0,0.0013403691617505892,5,0.5,easy,0
0,-1.01,2,1,1.0,,0.0013631461188197136,5,0.5,easy,0
0,-1.01,2,1,1.0,,0.0013612499460577965,5,0.5,easy,0
0,-1.01,2,1,1.0,,0.001390833524055779,5,0.5,easy,0
0,-1.06,7,1,0.5,,0.0013402143958956003,5,0.5,easy,0
1,0.92,9,0,0.0,4.0,0.0014708935955746307,10,0.5,easy,0
0,-1.01,2,1,0.0,,0.001537416479550302,10,0.5,easy,0
1,0.86,15,0,0.25,10.0,0.0014049027891208728,10,0.5,easy,0
1,0.94,7,0,0.25,2.0,0.0013826014141419104,10,0.5,easy,0
1,0.94,7,0,0.25,2.0,0.0014850714443517582,10,0.5,easy,0
1,0.88,13,0,0.14285714285714285,8.0,0.0014685738043716322,10,0.5,easy,0
1,0.94,7,0,0.125,2.0,0.0014063214683639152,10,0.5,easy,0
1,0.9,11,0,0.08333333333333333,6.0,0.0014313372402367268,10,0.5,easy,0
0,-1.01,2,1,0.3333333333333333,,0.0014319164911285043,10,0.5,easy,0
1,0.92,9,0,0.2,4.0,0.0013795739764140712,10,0.5,easy,0
1,0.92,9,0,0.0,4.0,0.0015636158124026325,20,0.5,easy,0
1,0.92,9,0,0.0,4.0,0.0015762686574210723,20,0.5,easy,0
1,0.94,7,0,0.0,2.0,0.0016315057873725891,20,0.5,easy,0
1,0.92,9,0,0.0,4.0,0.0016441110314594375,20,0.5,easy,0
1,0.92,9,0,0.0,4.0,0.0016116206016805437,20,0.5,easy,0
1,0.94,7,0,0.0,2.0,0.0016162260102906398,20,0.5,easy,0
1,0.96,5,0,0.0,0.0,0.0015589586459100247,20,0.5,easy,0
1,0.9,11,0,0.0,6.0,0.0015746856489303436,20,0.5,easy,0
1,0.96,5,0,0.0,0.0,0.0015593165531754493,20,0.5,easy,0
1,0.9,11,0,0.0,6.0,0.0015727121763947334,20,0.5,easy,0
1,0.96,5,0,0.0,0.0,0.0017942669801414013,30,0.5,easy,0
