lambda_F,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
0.0,0,40,0.15,0.85,-0.72875,3.875,2.3333333333333335,0.6839781746031746,0.0011603590834974608
0.0,1,40,0.175,0.825,-0.68325,4.325,3.7142857142857144,0.7725432900432901,0.0011618791519712695
0.0,2,40,0.15,0.85,-0.734,4.4,6.666666666666667,0.686220238095238,0.0011632900021443526
0.1,0,40,0.175,0.825,-0.6817499999999999,4.175,2.0,0.65625,0.00115774134055734
0.1,1,40,0.2,0.8,-0.63475,4.475,3.0,0.7481385281385281,0.0011529520656098017
0.1,2,40,0.15,0.85,-0.7375,4.75,6.333333333333333,0.7137053571428572,0.0011568853570084923
0.5,0,40,0.225,0.775,-0.595,5.5,4.222222222222222,0.5496704623878537,0.0011528786280320207
0.5,1,40,0.2,0.8,-0.648,5.8,6.5,0.650616883116883,0.0011524632561583377
0.5,2,40,0.25,0.75,-0.5450000000000002,5.5,5.0,0.5979586038961039,0.0011579704494383823
1.0,0,40,0.175,0.825,-0.68775,4.775,2.0,0.562892316017316,0.0011552376373028602
1.0,1,40,0.2,0.8,-0.64275,5.275,2.75,0.5951190476190475,0.0011591334496467757
1.0,2,40,0.225,0.775,-0.5980000000000001,5.8,5.111111111111111,0.5785222763347763,0.0011522544706338712
2.0,0,40,0.2,0.8,-0.639,4.9,2.25,0.5338446969696969,0.0011827711745378282
2.0,1,40,0.2,0.8,-0.64725,5.725,3.0,0.6109163059163059,0.001159831412331654
2.0,2,40,0.2,0.8,-0.644,5.4,5.5,0.5739499042624042,0.0011466075427796366
5.0,0,40,0.225,0.775,-0.5885,4.85,2.0,0.5234343434343434,0.0011614346826177603
5.0,1,40,0.175,0.825,-0.6917500000000001,5.175,2.2857142857142856,0.630659756909757,0.0011593542337717787
5.0,2,40,0.2,0.8,-0.6450000000000001,5.5,6.0,0.5592168595293595,0.0011464133413152835
