success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,lambda_F,Map,Seed
1,0.92,9,0,0.0,4.0,0.001205907666493052,0.0,easy,0
0,-1.0,1,1,0.0,,0.0011712909981724806,0.0,easy,0
1,0.94,7,0,0.125,2.0,0.0011682141412165947,0.0,easy,0
0,-1.04,5,1,0.16666666666666666,,0.001168633201450575,0.0,easy,0
0,-1.0,1,1,1.0,,0.0011756250023609027,0.0,easy,0
1,0.94,7,0,0.25,2.0,0.0011658337150168205,0.0,easy,0
0,-1.0,1,1,1.0,,0.0012007920013274997,0.0,easy,0
1,0.96,5,0,0.3333333333333333,0.0,0.0011617166004725733,0.0,easy,0
1,0.9,11,0,0.3333333333333333,6.0,0.0011627273647305133,0.0,easy,0
0,-1.01,2,1,0.3333333333333333,,0.0011636039998847991,0.0,easy,0
1,0.92,9,0,0.0,4.0,0.0011937127775228065,0.1,easy,0
0,-1.0,1,1,0.0,,0.001181457999336999,0.1,easy,0
1,0.94,7,0,0.125,2.0,0.001183702143732392,0.1,easy,0
0,-1.04,5,1,0.16666666666666666,,0.0011800248001236468,0.1,easy,0
0,-1.03,4,1,0.4,,0.001179010499981814,0.1,easy,0
1,0.94,7,0,0.25,2.0,0.001178368998807855,0.1,easy,0
0,-1.0,1,1,1.0,,0.001184624998131767,0.1,easy,0
1,0.96,5,0,0.3333333333333333,0.0,0.0011712498002452777,0.1,easy,0
1,0.9,11,0,0.3333333333333333,6.0,0.001171340999214656,0.1,easy,0
0,-1.01,2,1,1.0,,0.0011806459988292772,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.001168851777846511,0.5,easy,0
0,-1.0,1,1,0.0,,0.0011735830048564821,0.5,easy,0
1,0.94,7,0,0.125,2.0,0.001172470284343165,0.5,easy,0
0,-1.04,5,1,0.16666666666666666,,0.0011788000017986632,0.5,easy,0
1,0.88,13,0,0.2857142857142857,8.0,0.0011695129231576664,0.5,easy,0
1,0.94,7,0,0.25,2.0,0.0011677441444979714,0.5,easy,0
0,-1.05,6,1,0.5714285714285714,,0.001186500000282346,0.5,easy,0
1,0.94,7,0,0.5,2.0,0.001173523857557614,0.5,easy,0
1,0.9,11,0,0.3333333333333333,6.0,0.0011696213636737825,0.5,easy,0
0,-1.01,2,1,1.0,,0.001181874999019783,0.5,easy,0
1,0.92,9,0,0.0,4.0,0.0011636526655315214,1.0,easy,0
0,-1.0,1,1,0.0,,0.001168292001239024,1.0,easy,0
1,0.94,7,0,0.125,2.0,0.0011733811427672794,1.0,easy,0
0,-1.04,5,1,0.16666666666666666,,0.0012061583998729474,1.0,easy,0
0,-1.05,6,1,0.14285714285714285,,0.0012050903339210588,1.0,easy,0
1,0.94,7,0,0.25,2.0,0.001175577572472061,1.0,easy,0
0,-1.05,6,1,1.0,,0.0011745904994313605,1.0,easy,0
1,0.96,5,0,0.3333333333333333,0.0,0.0011679915987770073,1.0,easy,0
1,0.94,7,0,0.25,2.0,0.0011658095713106117,1.0,easy,0
1,0.92,9,0,0.4,4.0,0.0011686574451030335,1.0,easy,0
1,0.92,9,0,0.0,4.0,0.0011651481108856387,2.0,easy,0
0,-1.0,1,1,0.0,,0.0011722079943865538,2.0,easy,0
1,0.94,7,0,0.125,2.0,0.0011670118547044694,2.0,easy,0
