K,lambda_D,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
5,0.1,0,40,0.025,0.975,-0.9637499999999999,2.375,0.0,0.0,0.0011031245541787593
5,0.1,1,40,0.125,0.875,-0.77925,3.925,6.0,0.0,0.0010922086658029615
5,0.1,2,40,0.125,0.875,-0.772,3.2,5.2,0.0,0.0010907630021577096
5,0.1,3,40,0.175,0.825,-0.6972500000000001,5.725,6.285714285714286,0.0,0.0010975100192995237
5,0.1,4,40,0.075,0.925,-0.87225,3.225,3.3333333333333335,0.0,0.0010913740482191175
5,0.1,5,40,0.075,0.925,-0.88375,4.375,5.333333333333333,0.0,0.0010890067831113123
5,0.1,6,40,0.1,0.9,-0.8190000000000002,2.9,1.0,0.0,0.0010943817078424172
5,0.1,7,40,0.125,0.875,-0.7762499999999999,3.625,5.2,0.0,0.0010934312478873055
5,0.1,8,40,0.125,0.875,-0.7765000000000001,3.65,3.6,0.0,0.0010921204009884833
5,0.1,9,40,0.05,0.95,-0.92425,3.425,12.0,0.0,0.0010932352690355594
10,0.1,0,40,0.4,0.6,-0.25799999999999995,6.8,5.125,0.0,0.0011706300964725853
10,0.1,1,40,0.375,0.625,-0.30074999999999996,6.075,4.266666666666667,0.0,0.0011695409905091876
10,0.1,2,40,0.3,0.7,-0.44499999999999995,5.5,5.0,0.0,0.00115999737541136
10,0.1,3,40,0.425,0.575,-0.20550000000000002,6.55,4.470588235294118,0.0,0.0011644572141442204
10,0.1,4,40,0.35,0.65,-0.34275,5.275,3.0,0.0,0.0011629411374542542
10,0.1,5,40,0.25,0.75,-0.5485,5.85,8.2,0.0,0.001156664244725561
10,0.1,6,40,0.35,0.65,-0.35150000000000003,6.15,3.0,0.0,0.001157592501148699
10,0.1,7,40,0.425,0.575,-0.20375000000000001,6.375,4.0,0.0,0.0011608083687151588
10,0.1,8,40,0.3,0.7,-0.4565,6.65,4.333333333333333,0.0,0.0011675400111132248
10,0.1,9,40,0.425,0.575,-0.205,6.5,5.647058823529412,0.0,0.0011634191159532446
20,0.1,0,40,0.5,0.5,-0.05449999999999999,6.45,2.7,0.0,0.001343141307084468
20,0.1,1,40,0.5,0.5,-0.076,8.6,6.7,0.0,0.0013489818588689275
20,0.1,2,40,0.475,0.525,-0.10275000000000001,6.275,2.736842105263158,0.0,0.0013427355125543191
20,0.1,3,40,0.475,0.525,-0.10425000000000002,6.425,2.9473684210526314,0.0,0.0013403974793456644
20,0.1,4,40,0.425,0.575,-0.21200000000000002,7.2,5.294117647058823,0.0,0.0013448688702450856
20,0.1,5,40,0.5,0.5,-0.06375000000000001,7.375,4.3,0.0,0.001338691063787081
20,0.1,6,40,0.475,0.525,-0.10325,6.325,2.8421052631578947,0.0,0.0013417349561403022
20,0.1,7,40,0.5,0.5,-0.053750000000000034,6.375,2.8,0.0,0.0013309431612642047
20,0.1,8,40,0.475,0.525,-0.10225000000000004,6.225,2.736842105263158,0.0,0.0013355491129031117
20,0.1,9,40,0.475,0.525,-0.1095,6.95,4.105263157894737,0.0,0.0013332223427914528
30,0.1,0,40,0.5,0.5,-0.05050000000000001,6.05,1.9,0.0,0.0015163333047715662
30,0.1,1,40,0.5,0.5,-0.052000000000000046,6.2,2.1,0.0,0.001518357973383616
30,0.1,2,40,0.5,0.5,-0.05925000000000004,6.925,3.7,0.0,0.0015188417390891173
30,0.1,3,40,0.5,0.5,-0.06150000000000001,7.15,4.2,0.0,0.0015222741913284627
30,0.1,4,40,0.475,0.525,-0.10825000000000003,6.825,3.6842105263157894,0.0,0.0015224320898203666
30,0.1,5,40,0.5,0.5,-0.06299999999999999,7.3,4.2,0.0,0.0015084034580976
30,0.1,6,40,0.5,0.5,-0.05249999999999999,6.25,2.4,0.0,0.001511587098048617
30,0.1,7,40,0.5,0.5,-0.05650000000000001,6.65,3.0,0.0,0.0015134596001148283
30,0.1,8,40,0.5,0.5,-0.054500000000000014,6.45,2.5,0.0,0.0015153977277131045
30,0.1,9,40,0.5,0.5,-0.05850000000000003,6.85,3.5,0.0,0.0015128228357328792
40,0.1,0,40,0.5,0.5,-0.051000000000000024,6.1,1.9,0.0,0.001689520745746768
40,0.1,1,40,0.525,0.475,-0.007000000000000011,6.7,2.380952380952381,0.0,0.0016879629763248884
40,0.1,2,40,0.5,0.5,-0.057000000000000016,6.7,3.0,0.0,0.0016899147830326925
40,0.1,3,40,0.5,0.5,-0.054500000000000035,6.45,2.4,0.0,0.0016998404494634914
40,0.1,4,40,0.5,0.5,-0.053000000000000005,6.3,2.2,0.0,0.0016872221865859454
40,0.1,5,40,0.55,0.45,0.042499999999999996,6.75,2.272727272727273,0.0,0.0016858262867499884
40,0.1,6,40,0.525,0.475,-0.002000000000000035,6.2,1.7142857142857142,0.0,0.0016871893801408023
40,0.1,7,40,0.5,0.5,-0.05700000000000003,6.7,2.9,0.0,0.0016865196903936743
40,0.1,8,40,0.5,0.5,-0.058250000000000024,6.825,3.4,0.0,0.0016915989718874036
40,0.1,9,40,0.5,0.5,-0.05700000000000004,6.7,3.2,0.0,0.0016885513166656127
