success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_D,Map,Seed
1,0.96,5,0,0.0,0.0,0.0012907667987747118,5,0.1,easy,0
0,-1.0,1,1,0.0,,0.0011950000043725595,5,0.1,easy,0
0,-1.02,3,1,0.0,,0.0011663753321045078,5,0.1,easy,0
0,-1.01,2,1,0.0,,0.0018360829963057768,5,0.1,easy,0
0,-1.0,1,1,0.0,,0.001473874996008817,5,0.1,easy,0
0,-1.0,1,1,0.0,,0.0011640830052783713,5,0.1,easy,0
0,-1.0,1,1,0.0,,0.00226341700181365,5,0.1,easy,0
0,-1.01,2,1,0.0,,0.0011588960005610716,5,0.1,easy,0
0,-1.0,1,1,0.0,,0.001131875003920868,5,0.1,easy,0
0,-1.06,7,1,0.0,,0.0010986490015056916,5,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.0012060416678044323,10,0.1,easy,0
0,-1.01,2,1,0.0,,0.0011788120027631521,10,0.1,easy,0
1,0.88,13,0,0.0,8.0,0.0011871890002601924,10,0.1,easy,0
1,0.94,7,0,0.0,2.0,0.0012010477148578502,10,0.1,easy,0
1,0.94,7,0,0.0,2.0,0.0012022797143020267,10,0.1,easy,0
1,0.88,13,0,0.0,8.0,0.0012244454600687067,10,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.0012087081981007942,10,0.1,easy,0
1,0.9,11,0,0.0,6.0,0.0011994052725971085,10,0.1,easy,0
0,-1.0,1,1,0.0,,0.001254290997167118,10,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.0012621806680625821,10,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.0014036713344264878,20,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.001389921556336857,20,0.1,easy,0
1,0.94,7,0,0.0,2.0,0.001392172572585488,20,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.0013790787771641691,20,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.001369393333637466,20,0.1,easy,0
