lambda_D,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
0.0,0,40,0.0,1.0,-1.00275,1.275,,0.0,0.001141143145590225
0.0,1,40,0.0,1.0,-1.0,1.0,,0.0,0.001134355124850117
0.0,2,40,0.0,1.0,-1.0002499999999999,1.025,,0.0,0.0011391447617825178
0.1,0,40,0.175,0.825,-0.68075,4.075,3.4285714285714284,0.0,0.0011285690417484838
0.1,1,40,0.15,0.85,-0.7304999999999999,4.05,2.6666666666666665,0.0,0.0011147005284237882
0.1,2,40,0.175,0.825,-0.68675,4.675,6.0,0.0,0.0011200414624273403
0.5,0,40,0.1,0.9,-0.82875,3.875,1.5,0.0,0.0011270822645960041
0.5,1,40,0.175,0.825,-0.68175,4.175,2.5714285714285716,0.0,0.001122766492940038
0.5,2,40,0.125,0.875,-0.783,4.3,5.6,0.0,0.001109294010922848
1.0,0,40,0.1,0.9,-0.8265,3.65,1.5,0.0,0.0011300887829624987
1.0,1,40,0.175,0.825,-0.68125,4.125,2.2857142857142856,0.0,0.0011119172002441349
1.0,2,40,0.1,0.9,-0.8280000000000001,3.8,4.0,0.0,0.0011163235046225445
2.0,0,40,0.1,0.9,-0.8265,3.65,1.5,0.0,0.0011243336722791366
2.0,1,40,0.175,0.825,-0.68125,4.125,2.2857142857142856,0.0,0.0011189683970398412
2.0,2,40,0.1,0.9,-0.8280000000000001,3.8,4.0,0.0,0.0011099829815572906
5.0,0,40,0.1,0.9,-0.8265,3.65,1.5,0.0,0.0011193619133732888
5.0,1,40,0.175,0.825,-0.68125,4.125,2.2857142857142856,0.0,0.0011167077697700045
5.0,2,40,0.1,0.9,-0.8280000000000001,3.8,4.0,0.0,0.0011097937193453762
