success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,lambda_D,Map,Seed
0,-1.0,1,1,0.0,,0.002701417004573159,0.0,easy,0
0,-1.0,1,1,0.0,,0.0012005829921690747,0.0,easy,0
0,-1.0,1,1,0.0,,0.0012462079903343692,0.0,easy,0
0,-1.02,3,1,0.0,,0.0011876529994575928,0.0,easy,0
0,-1.0,1,1,0.0,,0.0012000419956166297,0.0,easy,0
0,-1.0,1,1,0.0,,0.0011984170123469085,0.0,easy,0
0,-1.0,1,1,0.0,,0.0011938340030610561,0.0,easy,0
0,-1.0,1,1,0.0,,0.0011749169934773818,0.0,easy,0
0,-1.02,3,1,0.0,,0.001185041667971139,0.0,easy,0
0,-1.01,2,1,0.0,,0.001182896005047951,0.0,easy,0
1,0.92,9,0,0.0,4.0,0.0012131296664140085,0.1,easy,0
0,-1.0,1,1,0.0,,0.001193000003695488,0.1,easy,0
1,0.94,7,0,0.0,2.0,0.0011637438562632138,0.1,easy,0
0,-1.04,5,1,0.0,,0.0011511165968840942,0.1,easy,0
0,-1.0,1,1,0.0,,0.001159874998847954,0.1,easy,0
1,0.94,7,0,0.0,2.0,0.0011557202877676381,0.1,easy,0
0,-1.0,1,1,0.0,,0.0011744579969672486,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.0011483333975775168,0.1,easy,0
1,0.9,11,0,0.0,6.0,0.001163420636492612,0.1,easy,0
0,-1.01,2,1,0.0,,0.0011888125009136274,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.001182231554088907,0.5,easy,0
0,-1.0,1,1,0.0,,0.0012052920064888895,0.5,easy,0
0,-1.02,3,1,0.0,,0.0012045420007780194,0.5,easy,0
0,-1.09,10,1,0.0,,0.0011780831991927698,0.5,easy,0
0,-1.0,1,1,0.0,,0.0011727499950211495,0.5,easy,0
0,-1.03,4,1,0.0,,0.0011585935026232619,0.5,easy,0
0,-1.0,1,1,0.0,,0.001182167005026713,0.5,easy,0
1,0.96,5,0,0.0,0.0,0.001133291600854136,0.5,easy,0
1,0.94,7,0,0.0,2.0,0.001140982282647331,0.5,easy,0
0,-1.01,2,1,0.0,,0.0011494169957586564,0.5,easy,0
1,0.92,9,0,0.0,4.0,0.0011393056661796032,1.0,easy,0
0,-1.0,1,1,0.0,,0.001153916004113853,1.0,easy,0
0,-1.02,3,1,0.0,,0.0011385553419434775,1.0,easy,0
0,-1.09,10,1,0.0,,0.0011340586002916097,1.0,easy,0
0,-1.0,1,1,0.0,,0.0011533749930094928,1.0,easy,0
0,-1.03,4,1,0.0,,0.0011362497534719296,1.0,easy,0
0,-1.0,1,1,0.0,,0.0011399159993743524,1.0,easy,0
1,0.96,5,0,0.0,0.0,0.0011332748021231965,1.0,easy,0
1,0.94,7,0,0.0,2.0,0.0011338691422549476,1.0,easy,0
0,-1.01,2,1,0.0,,0.001150854499428533,1.0,easy,0
1,0.92,9,0,0.0,4.0,0.001143370666088433,2.0,easy,0
0,-1.0,1,1,0.0,,0.0011599580029724166,2.0,easy,0
0,-1.02,3,1,0.0,,0.0011520276602823287,2.0,easy,0
0,-1.09,10,1,0.0,,0.0011267706024227664,2.0,easy,0
0,-1.0,1,1,0.0,,0.0011397919879527763,2.0,easy,0
0,-1.03,4,1,0.0,,0.0011248020018683746,2.0,easy,0
0,-1.0,1,1,0.0,,0.0011439999943831936,2.0,easy,0
1,0.96,5,0,0.0,0.0,0.0011433748033596203,2.0,easy,0
1,0.94,7,0,0.0,2.0,0.0011513749964901113,2.0,easy,0
0,-1.01,2,1,0.0,,0.0011566254979697987,2.0,easy,0
1,0.92,9,0,0.0,4.0,0.00116291199649115,5.0,easy,0
0,-1.0,1,1,0.0,,0.0011572090006666258,5.0,easy,0
0,-1.02,3,1,0.0,,0.001160833669321922,5.0,easy,0
0,-1.09,10,1,0.0,,0.0011667166982078925,5.0,easy,0
0,-1.0,1,1,0.0,,0.001210749993333593,5.0,easy,0
0,-1.03,4,1,0.0,,0.0011556564968486782,5.0,easy,0
0,-1.0,1,1,0.0,,0.0011674170091282576,5.0,easy,0
1,0.96,5,0,0.0,0.0,0.0011568087997147814,5.0,easy,0
1,0.94,7,0,0.0,2.0,0.0011531189957167953,5.0,easy,0
0,-1.01,2,1,0.0,,0.0011689584935083985,5.0,easy,0
0,-1.0,1,1,0.0,,0.0011825410037999973,0.0,obstacle,0
0,-1.0,1,1,0.0,,0.0011787500116042793,0.0,obstacle,0
0,-1.0,1,1,0.0,,0.0011784999951487407,0.0,obstacle,0
0,-1.0,1,1,0.0,,0.0012059589935233817,0.0,obstacle,0
0,-1.0,1,1,0.0,,0.001149792005890049,0.0,obstacle,0
0,-1.0,1,1,0.0,,0.0011733330029528588,0.0,obstacle,0
0,-1.0,1,1,0.0,,0.001145000001997687,0.0,obstacle,0
0,-1.0,1,1,0.0,,0.0011468340089777485,0.0,obstacle,0
0,-1.0,1,1,0.0,,0.0011384579993318766,0.0,obstacle,0
0,-1.0,1,1,0.0,,0.0011458749941084534,0.0,obstacle,0
0,-1.02,3,1,0.0,,0.0011605833327242483,0.1,obstacle,0
